date,page_views,unique_visitors,bounce_rate,avg_session_duration_sec,conversions,channel
2025-04-28,26500,10288,0.305,185,444,Direct
2025-04-29,35800,6160,0.302,369,373,Social
2025-04-30,36529,4978,0.388,154,477,Paid
2025-05-01,48963,8710,0.436,309,310,Paid
2025-05-02,19452,11422,0.657,157,16,Email
2025-05-03,32174,4021,0.266,343,349,Organic
2025-05-04,36436,1072,0.604,361,469,Paid
2025-05-05,48406,7582,0.492,179,192,Direct
2025-05-06,16954,5895,0.358,483,158,Organic
2025-05-07,18186,15907,0.471,65,498,Organic
2025-05-08,13356,19142,0.365,449,372,Social
2025-05-09,33963,11594,0.528,51,338,Paid
2025-05-10,3187,1150,0.439,235,429,Social
2025-05-11,12707,6241,0.29,385,424,Paid
2025-05-12,36098,13781,0.264,469,381,Email
2025-05-13,27935,7338,0.501,125,283,Social
2025-05-14,22225,19471,0.696,193,175,Social
2025-05-15,4606,3762,0.389,177,138,Direct
2025-05-16,33828,18222,0.603,559,499,Social
2025-05-17,27489,5496,0.562,323,457,Paid
2025-05-18,15387,12326,0.712,224,431,Direct
2025-05-19,4927,3327,0.652,509,29,Social
2025-05-20,7296,14711,0.512,152,22,Social
2025-05-21,31444,5732,0.561,429,194,Email
2025-05-22,47390,2717,0.694,481,145,Social
2025-05-23,47893,14732,0.42,133,47,Organic
2025-05-24,3591,14526,0.38,491,338,Direct
2025-05-25,45895,19845,0.206,425,288,Organic
2025-05-26,49516,14378,0.655,366,150,Direct
2025-05-27,27147,7337,0.641,171,319,Email
2025-05-28,39889,7531,0.257,346,448,Social
2025-05-29,2200,15306,0.517,587,323,Social
2025-05-30,16721,4216,0.455,556,445,Social
2025-05-31,20238,3914,0.265,585,96,Direct
2025-06-01,12087,18332,0.739,430,183,Social
2025-06-02,31816,1070,0.318,339,60,Organic
2025-06-03,24408,19788,0.237,524,159,Social
2025-06-04,40740,13788,0.527,585,164,Email
2025-06-05,1136,19389,0.606,138,115,Organic
2025-06-06,18413,1417,0.218,401,141,Social
2025-06-07,49114,10566,0.562,235,236,Social
2025-06-08,19978,7482,0.493,72,484,Paid
2025-06-09,1661,6836,0.257,274,472,Direct
2025-06-10,36240,18562,0.295,316,224,Organic
2025-06-11,28253,17499,0.512,384,485,Paid
2025-06-12,27884,10441,0.363,505,72,Email
2025-06-13,33854,12880,0.716,112,306,Direct
2025-06-14,11704,12167,0.65,139,253,Organic
2025-06-15,39987,5029,0.741,219,486,Social
2025-06-16,25527,18019,0.343,280,327,Organic
2025-06-17,17322,12692,0.733,320,414,Social
2025-06-18,48517,9066,0.437,230,396,Direct
2025-06-19,7968,7726,0.391,355,10,Social
2025-06-20,28518,5662,0.228,540,468,Email
2025-06-21,47364,17090,0.229,438,284,Social
2025-06-22,28886,1819,0.581,537,436,Email
2025-06-23,2700,1641,0.452,101,491,Direct
2025-06-24,29246,5127,0.325,276,98,Direct
2025-06-25,36468,15001,0.538,595,433,Organic
2025-06-26,24199,3190,0.339,373,273,Email
2025-06-27,45589,7823,0.518,83,201,Email
2025-06-28,33115,3755,0.398,557,29,Paid
2025-06-29,6520,5713,0.653,561,152,Paid
2025-06-30,45278,4608,0.651,587,122,Paid
2025-07-01,37455,19904,0.463,222,342,Social
2025-07-02,21929,18741,0.393,87,371,Paid
2025-07-03,42605,19673,0.399,466,342,Email
2025-07-04,15955,10302,0.643,140,70,Social
2025-07-05,45049,11913,0.38,158,462,Direct
2025-07-06,14917,15495,0.315,355,305,Organic
2025-07-07,5757,13083,0.247,37,374,Paid
2025-07-08,14045,5521,0.457,58,179,Direct
2025-07-09,42680,19271,0.465,141,323,Email
2025-07-10,5733,7082,0.662,160,80,Organic
2025-07-11,31954,13955,0.322,217,499,Direct
2025-07-12,32135,13617,0.41,504,465,Organic
2025-07-13,8081,19450,0.645,393,118,Paid
2025-07-14,42458,17859,0.653,233,115,Email
2025-07-15,24501,1762,0.412,241,253,Organic
2025-07-16,22113,7882,0.453,305,443,Direct
2025-07-17,35441,3827,0.367,102,207,Paid
2025-07-18,48086,19143,0.713,272,151,Paid
2025-07-19,25690,10520,0.265,131,39,Direct
2025-07-20,44939,18141,0.714,200,491,Direct
2025-07-21,30345,17348,0.576,217,313,Organic
2025-07-22,47313,14562,0.492,470,30,Social
2025-07-23,45571,7274,0.218,115,242,Paid
2025-07-24,27829,15660,0.462,505,18,Organic
2025-07-25,36062,1730,0.424,81,378,Direct
2025-07-26,4630,9576,0.289,140,49,Organic
2025-07-27,48861,4305,0.561,72,432,Direct
2025-07-28,32870,15215,0.734,240,220,Email
2025-07-29,48221,6250,0.509,229,237,Direct
2025-07-30,45942,16127,0.593,55,197,Direct
2025-07-31,4453,13732,0.238,328,55,Direct
2025-08-01,38275,3635,0.43,106,431,Social
2025-08-02,44370,7453,0.264,166,379,Direct
2025-08-03,39396,2046,0.537,49,218,Paid
2025-08-04,9328,15957,0.716,469,155,Paid
2025-08-05,16534,17978,0.564,240,444,Organic
2025-08-06,20744,2911,0.242,580,279,Social
2025-08-07,20389,19501,0.395,464,342,Organic
2025-08-08,37320,14613,0.503,236,80,Paid
2025-08-09,36010,4645,0.422,468,443,Paid
2025-08-10,15665,3275,0.659,71,224,Email
2025-08-11,38865,13693,0.648,440,352,Direct
2025-08-12,9640,13351,0.537,552,448,Paid
2025-08-13,35716,13570,0.405,456,191,Organic
2025-08-14,26521,4470,0.34,304,293,Organic
2025-08-15,31049,14619,0.258,477,407,Direct
2025-08-16,6618,4831,0.395,398,32,Direct
2025-08-17,38004,10795,0.427,249,383,Email
2025-08-18,2920,2442,0.572,261,184,Social
2025-08-19,44937,17075,0.562,357,257,Organic
2025-08-20,5188,13904,0.239,472,130,Direct
2025-08-21,13207,1361,0.417,81,181,Organic
2025-08-22,1238,9775,0.3,405,41,Direct
2025-08-23,33972,17533,0.286,292,414,Paid
2025-08-24,11799,4634,0.655,296,103,Organic
2025-08-25,6552,12303,0.223,388,102,Paid
2025-08-26,29916,15908,0.431,346,131,Organic
2025-08-27,5927,17920,0.293,353,487,Social
2025-08-28,28964,16851,0.684,592,172,Email
2025-08-29,12164,4631,0.506,450,84,Paid
2025-08-30,38158,19032,0.327,75,298,Direct
2025-08-31,20071,12557,0.476,298,337,Social
2025-09-01,49409,11849,0.602,410,130,Organic
2025-09-02,7160,11986,0.727,147,347,Paid
2025-09-03,16810,5957,0.321,595,314,Organic
2025-09-04,6126,6579,0.687,145,154,Organic
2025-09-05,31009,12953,0.714,289,20,Organic
2025-09-06,34584,19314,0.704,104,32,Email
2025-09-07,47182,18763,0.549,509,423,Email
2025-09-08,26396,12658,0.546,334,448,Direct
2025-09-09,1192,16235,0.422,36,177,Paid
2025-09-10,37413,16330,0.614,395,50,Social
2025-09-11,13816,15625,0.492,552,332,Social
2025-09-12,40082,12405,0.573,377,240,Social
2025-09-13,33130,12798,0.436,467,443,Organic
2025-09-14,41142,2511,0.602,244,218,Email
2025-09-15,37468,3873,0.653,458,89,Paid
2025-09-16,31698,10835,0.281,527,286,Organic
2025-09-17,11655,11192,0.658,569,236,Email
2025-09-18,48897,15027,0.497,396,89,Email
2025-09-19,31075,13273,0.665,342,413,Paid
2025-09-20,10359,1789,0.437,567,493,Paid
2025-09-21,37661,1947,0.408,83,69,Paid
2025-09-22,40579,14639,0.703,570,138,Organic
2025-09-23,43056,14257,0.338,496,155,Direct
2025-09-24,34272,5962,0.664,193,119,Paid
2025-09-25,43581,19666,0.466,363,68,Direct
2025-09-26,15671,8157,0.483,576,347,Organic
2025-09-27,28048,5420,0.37,377,431,Direct
2025-09-28,11738,10845,0.515,302,367,Social
2025-09-29,26963,8917,0.379,443,411,Direct
2025-09-30,44954,17660,0.222,529,356,Paid
2025-10-01,7773,5708,0.35,122,162,Organic
2025-10-02,37584,1187,0.204,108,81,Paid
2025-10-03,30894,17413,0.738,246,495,Social
2025-10-04,1717,13723,0.731,387,150,Paid
2025-10-05,12676,8580,0.417,536,347,Paid
2025-10-06,5434,19037,0.601,588,467,Paid
2025-10-07,38825,9986,0.39,210,229,Email
2025-10-08,30100,6594,0.569,275,409,Social
2025-10-09,5994,8192,0.643,273,317,Paid
2025-10-10,5234,11588,0.721,535,107,Paid
2025-10-11,4764,3603,0.42,451,411,Paid
2025-10-12,44949,2940,0.631,349,351,Organic
2025-10-13,38405,7624,0.346,116,305,Email
2025-10-14,35872,17728,0.745,246,432,Organic
2025-10-15,43215,14531,0.214,519,470,Email
2025-10-16,24185,15036,0.532,548,92,Paid
2025-10-17,44442,946,0.563,307,375,Social
2025-10-18,42153,4415,0.578,198,307,Direct
2025-10-19,12999,16287,0.266,359,172,Direct
2025-10-20,37487,19993,0.716,470,439,Paid
2025-10-21,3581,18118,0.3,420,174,Organic
2025-10-22,3763,7087,0.543,525,139,Social
2025-10-23,28374,726,0.322,410,54,Email
2025-10-24,39759,11651,0.369,335,436,Paid
2025-10-25,11531,6058,0.501,542,344,Social
2025-10-26,26307,12471,0.429,217,351,Social
2025-10-27,31835,686,0.288,545,138,Email
2025-10-28,12064,15180,0.294,456,351,Social
2025-10-29,12312,15059,0.43,531,141,Organic
2025-10-30,38548,11569,0.617,289,249,Organic
2025-10-31,37945,3035,0.694,542,113,Organic
2025-11-01,48937,2432,0.246,100,317,Social
2025-11-02,7476,2532,0.416,507,291,Organic
2025-11-03,25565,1752,0.255,207,25,Email
2025-11-04,3382,6009,0.209,486,94,Social
2025-11-05,23463,5574,0.564,218,300,Direct
2025-11-06,46276,14400,0.531,320,116,Social
2025-11-07,34402,15023,0.29,549,305,Email
2025-11-08,27345,2381,0.329,321,81,Direct
2025-11-09,45764,769,0.213,312,181,Social
2025-11-10,27946,2130,0.659,573,347,Organic
2025-11-11,15162,18458,0.736,406,152,Paid
2025-11-12,47773,13883,0.275,185,105,Paid
2025-11-13,9397,16652,0.327,537,250,Organic
2025-11-14,23335,11584,0.678,442,121,Paid
2025-11-15,46095,2195,0.71,557,96,Paid
2025-11-16,15394,15321,0.431,384,405,Organic
2025-11-17,28197,3762,0.228,588,32,Organic
2025-11-18,23010,1945,0.222,216,429,Social
2025-11-19,25123,16936,0.516,60,454,Social
2025-11-20,23387,10449,0.416,289,29,Organic
2025-11-21,3890,18550,0.216,450,62,Email
2025-11-22,28769,7401,0.521,558,301,Paid
2025-11-23,44626,19669,0.206,580,138,Social
2025-11-24,9026,1219,0.633,333,335,Paid
2025-11-25,4306,9097,0.369,68,253,Direct
2025-11-26,34665,7355,0.222,518,42,Organic
2025-11-27,10277,19178,0.524,571,394,Email
2025-11-28,43239,8763,0.419,307,433,Direct
2025-11-29,48664,15020,0.736,232,79,Direct
2025-11-30,49008,12374,0.499,95,146,Direct
2025-12-01,15683,14579,0.351,137,326,Organic
2025-12-02,1670,17582,0.59,297,172,Social
2025-12-03,24675,7743,0.349,251,263,Organic
2025-12-04,18889,9518,0.697,559,377,Social
2025-12-05,45535,17232,0.406,119,359,Direct
2025-12-06,14006,12600,0.502,284,229,Direct
2025-12-07,49536,17191,0.228,484,156,Email
2025-12-08,27531,5320,0.434,282,23,Social
2025-12-09,22639,11501,0.658,286,150,Direct
2025-12-10,17633,14407,0.643,412,452,Paid
2025-12-11,35660,12169,0.323,471,245,Email
2025-12-12,4439,16416,0.324,119,376,Organic
2025-12-13,33172,11378,0.65,419,385,Email
2025-12-14,36622,3485,0.712,73,348,Paid
2025-12-15,12577,8612,0.252,48,241,Social
2025-12-16,12763,8967,0.448,130,39,Organic
2025-12-17,21176,19431,0.386,386,194,Organic
2025-12-18,45386,836,0.679,571,5,Social
2025-12-19,25255,10665,0.246,62,488,Email
2025-12-20,42003,19863,0.316,258,157,Direct
2025-12-21,20996,13268,0.614,553,433,Email
2025-12-22,36386,4468,0.228,184,437,Paid
2025-12-23,22062,1410,0.471,452,130,Direct
2025-12-24,36931,18880,0.443,275,495,Email
2025-12-25,36710,16132,0.384,434,486,Social
2025-12-26,35693,16779,0.417,570,349,Paid
2025-12-27,36740,3629,0.491,190,404,Paid
2025-12-28,12705,5947,0.289,146,230,Paid
2025-12-29,44408,6629,0.515,300,225,Direct
2025-12-30,29047,6350,0.643,516,407,Organic
2025-12-31,11966,7946,0.618,201,411,Direct
